"","","","Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)"
"South Africa"," 2010"," 18+  years","46.9 [42.7-51.1]","51.6 [45.7-57.5]","42.2 [36.4-48.3]","47.1 [42.9-51.3]","53.1 [47.2-59.1]","40.5 [34.7-46.6]"
"South Sudan"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Spain"," 2010"," 18+  years","30.5 [9.1-68]","33.7 [10-70.4]","27.2 [8.9-67.3]","33.4 [10.3-70.3]","37.4 [11.6-73]","29.2 [9.8-69.1]"
"Sri Lanka"," 2010"," 18+  years","23.8 [21.8-25.9]","30.3 [27.1-33.7]","17.3 [15-19.8]","23.7 [21.8-25.8]","30.2 [27-33.6]","16.9 [14.6-19.4]"
"Sudan"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Suriname"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Swaziland"," 2010"," 18+  years","36.8 [11.8-74.4]","40.8 [13.4-77.1]","32.8 [11.4-73.2]","34.2 [10.7-72.6]","38.6 [12.5-76]","29.4 [9.9-70.4]"
"Sweden"," 2010"," 18+  years","28.7 [8.1-65.2]","33 [9.6-69.2]","24.4 [7.3-62.8]","31.1 [8.9-67.5]","35.8 [10.6-71.6]","26.2 [8-64.8]"
"Switzerland"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Syrian Arab Republic"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Tajikistan"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Thailand"," 2010"," 18+  years","14.8 [13.5-16.1]","16.7 [14.7-18.8]","12.9 [11.3-14.7]","14.6 [13.4-16]","16.4 [14.5-18.5]","12.8 [11.2-14.5]"
"The former Yugoslav republic of Macedonia"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Timor-Leste"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Togo"," 2010"," 18+  years","10.4 [9-12]","11 [8.8-13.6]","9.9 [8.1-12]","8.7 [7.3-10.4]","9.8 [7.6-12.4]","7.6 [5.8-9.7]"
"Tonga"," 2010"," 18+  years","21.6 [19.4-24]","30 [26.5-33.6]","13.3 [10.8-16.2]","21.6 [19.4-23.9]","29.9 [26.5-33.6]","12.8 [10.3-15.7]"
"Trinidad and Tobago"," 2010"," 18+  years","41.5 [38.6-44.5]","52.9 [48.9-56.9]","30.1 [26.2-34.4]","41.7 [38.8-44.7]","53.1 [49.1-57.1]","29.9 [25.9-34.1]"
"Tunisia"," 2010"," 18+  years","23.5 [6.5-57.4]","27.3 [7.7-62]","19.7 [5.9-54.3]","22.6 [6.1-56.4]","26.6 [7.4-61.3]","18.6 [5.4-52.9]"
"Turkey"," 2010"," 18+  years","32.8 [10.3-70.1]","37.5 [12-73.8]","28.1 [9.2-68]","32.3 [9.9-69.5]","37.1 [11.8-73.5]","27.1 [8.8-67.1]"
"Turkmenistan"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Tuvalu"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Uganda"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Ukraine"," 2010"," 18+  years","12.2 [2.7-35.1]","12.7 [2.7-35.1]","11.6 [2.9-36.9]","14.4 [3.2-38.2]","16.2 [3.5-39.8]","12.2 [3-38]"
"United Arab Emirates"," 2010"," 18+  years","38.4 [11.9-74.6]","44.6 [15.7-80.4]","32.2 [11.3-72.9]","30.2 [9.6-70.9]","39.4 [12.9-77.4]","27 [8.8-68.5]"
"United Kingdom of Great Britain and Northern Ireland"," 2010"," 18+  years","37.3 [35.9-38.8]","42.4 [40.3-44.6]","32.3 [30.4-34.2]","40 [38.6-41.4]","44.3 [42.2-46.5]","35.4 [33.5-37.3]"
"United Republic of Tanzania"," 2010"," 18+  years","6.9 [5.9-7.9]","7.6 [6.1-9.6]","6.1 [5-7.4]","5.5 [4.6-6.5]","6.4 [4.8-8.3]","4.6 [3.4-5.9]"
"United States of America"," 2010"," 18+  years","32.4 [29.8-35]","39.3 [35.5-43.3]","25.4 [22.2-28.8]","35 [32.5-37.6]","42.1 [38.3-46]","27.6 [24.3-31]"
"Uruguay"," 2010"," 18+  years","31.7 [26.2-37.6]","37.3 [29.9-45.1]","26.2 [18.4-35.4]","34.2 [28.7-40.1]","40.3 [32.9-48.1]","27.4 [19.6-36.6]"
"Uzbekistan"," 2010"," 18+  years","19.2 [17-21.6]","24.9 [21.7-28.3]","13.6 [10.7-17.1]","18.1 [15.9-20.5]","24.1 [20.9-27.5]","11.8 [8.9-15.3]"
"Vanuatu"," 2010"," 18+  years","8.4 [7.5-9.4]","9.4 [8-10.9]","7.4 [6.3-8.7]","7.1 [6.2-8.1]","8.1 [6.7-9.7]","6 [4.9-7.4]"
"Venezuela (Bolivarian Republic of)"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Viet Nam"," 2010"," 18+  years","23.9 [16.6-32.9]","25.8 [15.5-38.8]","22.1 [12.3-35.6]","23.6 [16.2-32.5]","26 [15.7-39]","21 [11.2-34.5]"
"Yemen"," 2010"," 18+  years","No data","No data","No data","No data","No data","No data"
"Zambia"," 2010"," 18+  years","20.5 [5.2-52.6]","23.7 [6.1-56.6]","17.3 [4.8-50.4]","17.7 [4.3-48.7]","20.6 [5.1-52.9]","14.7 [3.9-46.4]"
"Zimbabwe"," 2010"," 18+  years","22.4 [5.8-54.9]","26.1 [6.8-59.6]","18.7 [5.3-51.6]","19.7 [4.9-51]","23.8 [6.1-57.1]","15.3 [4.1-45.5]"
